transactions,date,day_of_week,customer_name,age_group,gender,occupation,city,township,platform,device_type,transaction_type,amount_mmk,fee_mmk,net_amount_mmk,status
TXN-WVDY-05152879,30-Oct-24,Wednesday,Daw Zaw,25-34,Female,Trader / Merchant,Yangon,Mayangon,AYAPay,Android,P2P Transfer,68500,0,68500,Completed
TXN-TVUP-87076578,12-Oct-24,Saturday,Pyae Win,25-34,Female,Government Employee,Yangon,Kamayut,KBZPay,Android,P2P Transfer,184500,0,184500,Completed
TXN-PJPH-51711709,29-Mar-24,Friday,Khin Zaw,25-34,Male,Private Sector Employee,Yangon,Bahan,AYAPay,Android,Mobile Top-up,17000,0,17000,Completed
TXN-KRJD-06289323,13-Sep-24,Friday,Zaw Htay,25-34,Female,Freelancer,Yangon,Kamayut,AYAPay,Android,P2P Transfer,243000,0,243000,Completed
TXN-ESKB-17844452,23-Feb-24,Friday,Aye Shwe,25-34,Female,Student,Yangon,Mayangon,KBZPay,Android,Cash In,178000,0,178000,Completed
TXN-XNQE-59371434,10-Nov-24,Sunday,Mg Wai,25-34,Female,Government Employee,Yangon,Insein,KBZPay,Android,Merchant Payment,49000,0,49000,Completed
TXN-RUJO-18189464,9-May-24,Thursday,Kyaw Phyo,25-34,Male,Farmer,Yangon,Sanchaung,Wave Money,Android,P2P Transfer,180000,0,180000,Completed
TXN-BVBX-93630377,5-Dec-24,Thursday,Htet Moe,25-34,Male,Private Sector Employee,Yangon,Mingaladon,CB Pay,Android,P2P Transfer,78000,0,78000,Completed
TXN-ATPQ-24350854,26-Mar-24,Tuesday,Khin Kyaw,25-34,Male,Healthcare Worker,Yangon,Mayangon,KBZPay,Android,Bill Payment,35500,0,35500,Completed
TXN-PSRD-43329002,29-Jul-24,Monday,Pyae Khaing,25-34,Male,Government Employee,Yangon,Mingaladon,AYAPay,Android,Mobile Top-up,5000,0,5000,Completed
TXN-WUHD-76697614,17-Jun-24,Monday,Myat Soe,25-34,Male,Government Employee,Yangon,Sanchaung,KBZPay,Android,Mobile Top-up,5500,0,5500,Completed
TXN-GEBE-98354986,30-Aug-24,Friday,Nan Kyaw,25-34,Male,Government Employee,Yangon,Sanchaung,Wave Money,Android,Mobile Top-up,7000,0,7000,Completed
TXN-WVPJ-38729723,6-Feb-24,Tuesday,Phyo Aung,25-34,Male,Government Employee,Yangon,Bahan,KBZPay,Android,Cash In,131500,0,131500,Completed
TXN-XBBA-67418145,4-Mar-24,Monday,Ko Aung,25-34,Male,Private Sector Employee,Yangon,Dagon,Wave Money,Android,Bill Payment,52000,0,52000,Completed
TXN-VASF-04321155,4-Dec-24,Wednesday,Myat Aye,25-34,Female,Trader / Merchant,Yangon,Insein,AYAPay,Android,P2P Transfer,95000,0,95000,Completed
TXN-SHCP-94860500,12-Nov-24,Tuesday,Thura Min,25-34,Female,Trader / Merchant,Yangon,Dagon,AYAPay,Android,Merchant Payment,79000,0,79000,Completed
TXN-MLGN-68221783,10-Feb-24,Saturday,Phyu San,25-34,Male,Government Employee,Yangon,Mingaladon,AYAPay,Android,Salary Credit,1818500,0,1818500,Completed
TXN-XLCE-30262185,23-Mar-24,Saturday,Ko Nyi,25-34,Female,Student,Yangon,Sanchaung,Wave Money,Android,Merchant Payment,18000,0,18000,Completed
TXN-GLBK-37618535,20-May-24,Monday,Su Lwin,25-34,Male,Private Sector Employee,Yangon,Hlaing,AYAPay,Android,Cash In,705500,0,705500,Completed
TXN-WTKU-19042187,22-Dec-24,Sunday,Soe Min,25-34,Female,Private Sector Employee,Yangon,Dagon,Wave Money,Android,P2P Transfer,283000,0,283000,Completed
TXN-UQBT-10540311,15-Dec-24,Sunday,Thet San,25-34,Male,Business Owner,Yangon,Tamwe,KBZPay,Android,P2P Transfer,109500,0,109500,Completed
TXN-NDKB-53349816,6-Aug-24,Tuesday,Khin Shwe,25-34,Female,Student,Yangon,Insein,KBZPay,Android,Cash In,172500,0,172500,Completed
TXN-GUOJ-97182066,22-Feb-24,Thursday,Yee Naing,25-34,Male,Government Employee,Yangon,Kamayut,CB Pay,Android,Bill Payment,147500,0,147500,Completed
TXN-NKXW-08527142,6-Jan-24,Saturday,Khin Nge,25-34,Female,Private Sector Employee,Yangon,Dagon,AYAPay,Android,P2P Transfer,221500,0,221500,Completed
TXN-BZEM-23104176,22-Nov-24,Friday,Pyae Shwe,25-34,Female,Private Sector Employee,Yangon,Kamayut,CB Pay,Android,Merchant Payment,12000,0,12000,Completed
TXN-SMUS-74610757,21-Feb-24,Wednesday,Pyae Nge,25-34,Female,Factory Worker,Yangon,Mayangon,KBZPay,Android,Bill Payment,132000,0,132000,Completed
TXN-XMGZ-25999560,15-Dec-24,Sunday,Ma Min,25-34,Male,Freelancer,Yangon,Kamayut,Wave Money,Android,Mobile Top-up,1000,0,1000,Completed
TXN-CQYG-43377860,25-Mar-24,Monday,Pyae Lay,25-34,Female,Government Employee,Yangon,Insein,Wave Money,Android,P2P Transfer,99000,0,99000,Completed
TXN-LIFZ-95364264,12-Feb-24,Monday,Thu Zin,25-34,Male,Government Employee,Yangon,Bahan,KBZPay,Android,Mobile Top-up,10000,0,10000,Completed
TXN-PDLH-30236744,5-Nov-24,Tuesday,Nyein Zaw,25-34,Male,Business Owner,Yangon,Kamayut,AYAPay,Android,P2P Transfer,71500,0,71500,Completed
TXN-JBNI-41780632,22-Aug-24,Thursday,Shwe Htun,25-34,Female,Trader / Merchant,Yangon,Hlaing,KBZPay,Android,P2P Transfer,66500,0,66500,Completed
TXN-HHBA-19524396,31-Mar-24,Sunday,Zaw Min,25-34,Male,Government Employee,Yangon,Dagon,AYAPay,Android,Bill Payment,61500,0,61500,Completed
TXN-FIGZ-92678880,4-Nov-24,Monday,Kyaw Tun,25-34,Female,Student,Yangon,Sanchaung,AYAPay,Android,Merchant Payment,53500,0,53500,Completed
TXN-DIRI-36851320,6-Jun-24,Thursday,Thu Lay,25-34,Female,Trader / Merchant,Yangon,Insein,Wave Money,Android,Bill Payment,81000,0,81000,Completed
TXN-GQUL-29676356,7-Nov-24,Thursday,Aye Tun,25-34,Female,Factory Worker,Yangon,Bahan,AYAPay,Android,Merchant Payment,49000,0,49000,Completed
TXN-JITG-49616709,18-Nov-24,Monday,Thida Aye,25-34,Female,Government Employee,Yangon,Thingangyun,Wave Money,Android,Bill Payment,98000,0,98000,Completed
TXN-SOFC-49301092,6-Oct-24,Sunday,Min Kyaw,25-34,Male,Business Owner,Yangon,Kamayut,Wave Money,Android,Mobile Top-up,20000,0,20000,Completed
TXN-TVPJ-94144141,15-Apr-24,Monday,Nge Min,25-34,Male,Government Employee,Yangon,Insein,Wave Money,Android,Cash In,282000,0,282000,Completed
TXN-GPGK-98852336,1-Oct-24,Tuesday,Thu Lin,25-34,Female,Private Sector Employee,Yangon,Sanchaung,OK Dollar,Android,Salary Credit,1050500,0,1050500,Completed
TXN-PWUO-35869422,23-Aug-24,Friday,Daw Thant,25-34,Male,Student,Yangon,Sanchaung,AYAPay,Android,Mobile Top-up,4000,0,4000,Completed
TXN-ACXL-69036071,27-Aug-24,Tuesday,Naing Oo,25-34,Female,Farmer,Yangon,Insein,Wave Money,Android,Mobile Top-up,15000,0,15000,Completed
TXN-CZIX-58891331,9-Nov-24,Saturday,Nge Hlaing,25-34,Female,Private Sector Employee,Yangon,Bahan,KBZPay,Android,Salary Credit,686000,0,686000,Completed
TXN-GXSC-39120121,9-Nov-24,Saturday,Yee Kyaw,25-34,Male,Private Sector Employee,Yangon,Thingangyun,KBZPay,Android,Cash In,390500,0,390500,Completed
TXN-OZDP-55979161,13-Mar-24,Wednesday,Zaw Phyo,25-34,Female,Government Employee,Yangon,Mingaladon,AYAPay,Android,P2P Transfer,212000,0,212000,Completed
TXN-PXTU-14896188,19-Feb-24,Monday,Pyae Wai,25-34,Male,Private Sector Employee,Yangon,Sanchaung,OK Dollar,Android,Merchant Payment,85000,0,85000,Completed
TXN-PTOV-67419046,17-Mar-24,Sunday,Khin Thant,25-34,Male,Farmer,Yangon,Kamayut,Wave Money,Android,P2P Transfer,51500,0,51500,Completed
TXN-ACCS-57058454,4-Apr-24,Thursday,Pyae Zaw,25-34,Male,Government Employee,Yangon,Bahan,KBZPay,Android,Mobile Top-up,12500,0,12500,Completed
TXN-NYXQ-64058268,21-Jul-24,Sunday,Daw Win,25-34,Female,Private Sector Employee,Yangon,Sanchaung,AYAPay,Android,Merchant Payment,16000,0,16000,Completed
TXN-MVPR-85435508,19-Jan-24,Friday,Myo Lwin,25-34,Female,Business Owner,Yangon,Sanchaung,AYAPay,Android,P2P Transfer,69500,0,69500,Completed
TXN-VYHO-85630493,17-Jan-24,Wednesday,Daw Wai,25-34,Female,Government Employee,Yangon,Kamayut,KBZPay,Android,Bill Payment,51000,0,51000,Completed
TXN-GJIW-83366760,13-Jul-24,Saturday,Yee Oo,25-34,Male,Private Sector Employee,Yangon,Bahan,Wave Money,Android,Mobile Top-up,13000,0,13000,Completed
TXN-GPYZ-65933851,4-Mar-24,Monday,Khin Hlaing,25-34,Female,Government Employee,Yangon,Bahan,Wave Money,Android,P2P Transfer,93500,0,93500,Completed
TXN-MJCU-74157330,9-Jun-24,Sunday,Khin Min,25-34,Female,Business Owner,Yangon,Sanchaung,Wave Money,Android,Merchant Payment,8500,0,8500,Completed
TXN-KPCP-00450335,10-Dec-24,Tuesday,Zaw Shwe,25-34,Female,Freelancer,Yangon,Kamayut,CB Pay,Android,Cash In,637000,0,637000,Completed
TXN-FMOE-11621231,24-Apr-24,Wednesday,Ko Myint,25-34,Female,Trader / Merchant,Yangon,Sanchaung,Wave Money,Android,P2P Transfer,89000,0,89000,Completed
TXN-FLCD-34123160,26-Apr-24,Friday,Aung Nyi,25-34,Male,Private Sector Employee,Yangon,Bahan,CB Pay,Android,P2P Transfer,500000,0,500000,Completed
TXN-XVXP-02460763,19-Nov-24,Tuesday,Myo Htay,25-34,Female,Government Employee,Yangon,Hlaing,Wave Money,Android,Salary Credit,1060500,0,1060500,Completed
TXN-DCIV-66009083,2-Oct-24,Wednesday,Thura Maung,55+,Female,Private Sector Employee,Yangon,Kamayut,AYAPay,Android,Bill Payment,166000,0,166000,Completed
TXN-DDWH-15687951,22-Dec-24,Sunday,Nan Zin,18-24,Female,Business Owner,Yangon,Mingaladon,CB Pay,Android,Cash In,1000000,0,1000000,Completed
TXN-LHZJ-87395558,5-Aug-24,Monday,Khin Tun,45-54,Female,Private Sector Employee,Yangon,Insein,OK Dollar,Android,Bill Payment,47500,0,47500,Completed
TXN-RRGT-79744637,14-Oct-24,Monday,Thu Zin,35-44,Male,Government Employee,Yangon,Kamayut,KBZPay,Android,Mobile Top-up,3500,0,3500,Completed
TXN-QOZC-43205770,8-Nov-24,Friday,Aye Maung,35-44,Male,Government Employee,Yangon,Mayangon,KBZPay,Android,P2P Transfer,245500,0,245500,Completed
TXN-FSCS-41648268,17-Oct-24,Thursday,Thida Kyaw,35-44,Female,Business Owner,Yangon,Mingaladon,Wave Money,Android,Bill Payment,78000,0,78000,Completed
TXN-XQBH-60701031,10-Jun-24,Monday,Myat Lin,35-44,Male,Government Employee,Yangon,Mingaladon,Wave Money,Android,Bill Payment,73000,0,73000,Completed
TXN-HHJA-18280349,6-Apr-24,Saturday,Thura Lin,18-24,Female,Private Sector Employee,Yangon,Mingaladon,Wave Money,Android,Merchant Payment,25000,0,25000,Completed
TXN-KXPC-60630927,25-Jan-24,Thursday,Su Thant,18-24,Male,Government Employee,Yangon,Dagon,AYAPay,Android,Bill Payment,41500,0,41500,Completed
TXN-XIYV-81981655,21-Jul-24,Sunday,Naing Nyi,18-24,Female,Student,Yangon,Insein,OK Dollar,Android,Bill Payment,52500,0,52500,Completed
TXN-EZMH-48257781,23-Oct-24,Wednesday,Aye San,35-44,Female,Freelancer,Yangon,Bahan,Wave Money,Android,Bill Payment,23500,0,23500,Completed
TXN-QYRN-11466440,14-May-24,Tuesday,Ma Kyaw,35-44,Male,Government Employee,Yangon,Bahan,Wave Money,Android,Merchant Payment,39500,0,39500,Completed
TXN-BOFM-36670162,29-Apr-24,Monday,Khin Phyo,35-44,Female,Student,Yangon,Dagon,KBZPay,Android,P2P Transfer,500000,0,500000,Completed
TXN-GHNO-67086621,9-Dec-24,Monday,Naing Nge,45-54,Female,Business Owner,Yangon,Tamwe,KBZPay,Android,P2P Transfer,294500,0,294500,Completed
TXN-DYMU-24571715,18-May-24,Saturday,Nan Win,45-54,Male,Student,Yangon,Dagon,OK Dollar,Android,Cash Out,26500,0,26500,Completed
TXN-KMSI-02633336,7-Jun-24,Friday,Khin Nyi,18-24,Female,Private Sector Employee,Yangon,Kamayut,Wave Money,Android,Mobile Top-up,1500,0,1500,Completed
TXN-ZXSV-50412476,1-Jan-24,Monday,Phyu Soe,18-24,Female,Private Sector Employee,Yangon,Bahan,CB Pay,Android,Bill Payment,200000,0,200000,Completed
TXN-CJJK-38178644,22-Nov-24,Friday,Min Lay,35-44,Male,Factory Worker,Yangon,Sanchaung,KBZPay,Android,Mobile Top-up,7000,0,7000,Completed
TXN-FWKM-21282052,2-Mar-24,Saturday,Kyaw Nge,35-44,Male,Private Sector Employee,Yangon,Hlaing,Wave Money,Android,Salary Credit,813000,0,813000,Completed
TXN-JGGS-57943849,15-May-24,Wednesday,Aung Phyo,18-24,Female,Trader / Merchant,Yangon,Sanchaung,Wave Money,Android,Bill Payment,35000,0,35000,Completed
TXN-GOYK-00771550,29-Jan-24,Monday,Phyu Thu,18-24,Male,Government Employee,Yangon,Insein,KBZPay,Android,P2P Transfer,158000,0,158000,Completed
TXN-RQVI-06324140,12-Nov-24,Tuesday,Thu Maung,18-24,Female,Private Sector Employee,Yangon,Mingaladon,Wave Money,Android,P2P Transfer,221000,0,221000,Completed
TXN-LZGY-24428832,5-Mar-24,Tuesday,Zaw Hlaing,55+,Female,Business Owner,Yangon,Kamayut,OK Dollar,Android,Mobile Top-up,7000,0,7000,Completed
TXN-JLST-58720830,30-May-24,Thursday,Wai Moe,18-24,Male,Student,Yangon,Bahan,Wave Money,Android,P2P Transfer,296000,0,296000,Completed
TXN-HOLI-45718382,22-Jun-24,Saturday,Nan Oo,35-44,Female,Private Sector Employee,Yangon,Mayangon,KBZPay,Android,P2P Transfer,29000,0,29000,Completed
TXN-ZJVT-21430636,20-Sep-24,Friday,Yee Thu,18-24,Male,Private Sector Employee,Yangon,Dagon,KBZPay,Android,Merchant Payment,76500,0,76500,Completed
TXN-TGXT-95069521,24-Mar-24,Sunday,Ko Thu,55+,Female,Government Employee,Yangon,Thingangyun,KBZPay,Android,P2P Transfer,148000,0,148000,Completed
TXN-FWOS-73942924,19-Jan-24,Friday,Naing Thu,18-24,Female,Business Owner,Yangon,Mayangon,Wave Money,Android,P2P Transfer,287000,0,287000,Completed
TXN-SPBC-82425357,11-Mar-24,Monday,Ma Soe,35-44,Male,Government Employee,Yangon,Bahan,Wave Money,Android,Mobile Top-up,6000,0,6000,Completed
TXN-RFDD-84441126,28-Aug-24,Wednesday,Pyae San,45-54,Female,Business Owner,Yangon,Insein,AYAPay,Android,Bill Payment,106500,0,106500,Completed
TXN-JEPP-23114983,23-Sep-24,Monday,Khin Oo,18-24,Male,Trader / Merchant,Yangon,Insein,AYAPay,Android,Merchant Payment,31000,0,31000,Completed
TXN-HQJE-39722792,2-Sep-24,Monday,Aung Moe,45-54,Male,Trader / Merchant,Yangon,Dagon,AYAPay,Android,Cash In,578000,0,578000,Completed
TXN-STWJ-26455959,29-Jul-24,Monday,Thet Kyaw,45-54,Male,Business Owner,Yangon,Sanchaung,KBZPay,Android,Merchant Payment,32500,0,32500,Completed
TXN-QGIF-28034164,10-Jul-24,Wednesday,Pyae Nge,18-24,Female,Trader / Merchant,Yangon,Bahan,KBZPay,Android,Merchant Payment,31500,0,31500,Completed
TXN-XQTS-63285490,21-Feb-24,Wednesday,Thida Win,35-44,Female,Government Employee,Yangon,Tamwe,KBZPay,Android,P2P Transfer,41500,0,41500,Completed
TXN-EEAB-59911786,16-May-24,Thursday,Mg Nge,35-44,Male,Trader / Merchant,Yangon,Tamwe,OK Dollar,Android,Bill Payment,30000,0,30000,Completed
TXN-EZKG-38603662,11-Jan-24,Thursday,Thu Phyo,18-24,Male,Student,Yangon,Insein,Wave Money,Android,P2P Transfer,159500,0,159500,Completed
TXN-XKBW-57405173,5-Aug-24,Monday,Nyein Nge,35-44,Female,Private Sector Employee,Yangon,Kamayut,KBZPay,Android,P2P Transfer,325000,0,325000,Completed
TXN-YBOW-01533333,29-Jun-24,Saturday,Ko San,35-44,Female,Government Employee,Yangon,Mingaladon,AYAPay,Android,Mobile Top-up,7500,0,7500,Completed
TXN-RAAX-11165014,24-Apr-24,Wednesday,Nyein Maung,45-54,Female,Trader / Merchant,Yangon,Mayangon,AYAPay,Android,Mobile Top-up,3000,0,3000,Completed
TXN-HRDD-21465715,19-Dec-24,Thursday,Ma Phyo,35-44,Male,Government Employee,Yangon,Mayangon,CB Pay,Android,Merchant Payment,86500,0,86500,Completed
TXN-ASZJ-54886563,14-Jan-24,Sunday,Nyein Oo,35-44,Male,Business Owner,Yangon,Bahan,Wave Money,Android,P2P Transfer,274000,0,274000,Completed
TXN-MZPN-62692814,23-Feb-24,Friday,Nge Mon,45-54,Female,Government Employee,Yangon,Kamayut,AYAPay,Android,P2P Transfer,89000,0,89000,Completed
TXN-ANNK-35890650,14-Sep-24,Saturday,Naing Thu,35-44,Male,Government Employee,Yangon,Insein,Wave Money,Android,P2P Transfer,181500,0,181500,Completed
TXN-PGHD-77435007,26-Feb-24,Monday,Yee Nyi,18-24,Male,Freelancer,Yangon,Insein,KBZPay,Android,Mobile Top-up,6000,0,6000,Completed
TXN-NMVE-78058838,23-Apr-24,Tuesday,Mg Htay,35-44,Female,Business Owner,Yangon,Mayangon,AYAPay,Android,P2P Transfer,67500,0,67500,Completed
TXN-URXK-28598776,4-Sep-24,Wednesday,Htet Aung,35-44,Female,Student,Yangon,Mayangon,AYAPay,Android,Mobile Top-up,7500,0,7500,Completed
TXN-MQMV-14130960,5-Jun-24,Wednesday,Khin Aye,35-44,Male,Government Employee,Yangon,Hlaing,KBZPay,Android,P2P Transfer,25500,0,25500,Completed
TXN-HUEC-75788253,26-Jun-24,Wednesday,Ei Lay,45-54,Female,Private Sector Employee,Yangon,Mayangon,Wave Money,Android,Merchant Payment,15000,0,15000,Completed
TXN-KJMD-86511951,19-Nov-24,Tuesday,Nge Htay,35-44,Female,Government Employee,Yangon,Thingangyun,CB Pay,Android,Bill Payment,27000,0,27000,Completed
TXN-WLHV-25304357,20-Jan-24,Saturday,Min Maung,18-24,Female,Private Sector Employee,Yangon,Insein,Wave Money,Android,Merchant Payment,46000,0,46000,Completed
TXN-PABV-71007278,19-Oct-24,Saturday,Soe Nge,45-54,Female,Trader / Merchant,Yangon,Tamwe,AYAPay,Android,Merchant Payment,37000,0,37000,Completed
TXN-SBLZ-04312632,6-Jun-24,Thursday,Su Maung,35-44,Male,Government Employee,Yangon,Hlaing,Wave Money,Android,Merchant Payment,23000,0,23000,Completed
TXN-KGOW-35261518,1-Dec-24,Sunday,Nyein Tun,35-44,Male,Farmer,Yangon,Sanchaung,Wave Money,Android,Cash In,256500,0,256500,Completed
TXN-JYMG-32182986,25-Mar-24,Monday,Shwe Myint,18-24,Female,Business Owner,Yangon,Tamwe,AYAPay,Android,Mobile Top-up,5000,0,5000,Completed
TXN-ZAOC-67199236,14-Nov-24,Thursday,Nyein Nyi,45-54,Female,Business Owner,Yangon,Dagon,Wave Money,Android,P2P Transfer,157000,0,157000,Completed
TXN-FEST-53066183,1-Feb-24,Thursday,Nyein Win,55+,Female,Student,Yangon,Dagon,KBZPay,Android,Merchant Payment,43000,0,43000,Completed
TXN-ZIQU-48140696,14-Jan-24,Sunday,Phyo Htay,55+,Male,Government Employee,Yangon,Bahan,CB Pay,Android,Bill Payment,97000,0,97000,Completed
TXN-HJWT-22912948,19-Nov-24,Tuesday,Ko Myint,45-54,Female,Student,Yangon,Insein,AYAPay,Android,Merchant Payment,133500,0,133500,Completed
TXN-LDUT-44516763,11-Apr-24,Thursday,Daw Htay,35-44,Male,Factory Worker,Yangon,Tamwe,Wave Money,Android,Cash In,223500,0,223500,Completed
TXN-SYDJ-43480861,23-Oct-24,Wednesday,Naing Soe,35-44,Male,Student,Yangon,Bahan,AYAPay,Android,P2P Transfer,39000,0,39000,Completed
TXN-DCIS-74656781,8-Mar-24,Friday,Thet Oo,45-54,Female,Business Owner,Yangon,Mayangon,CB Pay,Android,Mobile Top-up,18500,0,18500,Completed
TXN-VFZT-75681635,4-Jun-24,Tuesday,Thida Soe,55+,Male,Private Sector Employee,Yangon,Dagon,CB Pay,Android,P2P Transfer,82000,0,82000,Completed
TXN-IMBU-94109073,11-Feb-24,Sunday,Ko Thu,35-44,Male,Government Employee,Yangon,Bahan,KBZPay,Android,Merchant Payment,62500,0,62500,Completed
TXN-OFNF-93691346,6-Feb-24,Tuesday,Ko Wai,45-54,Male,Private Sector Employee,Yangon,Dagon,AYAPay,Android,Merchant Payment,102500,0,102500,Completed
TXN-RHJS-05388789,27-Apr-24,Saturday,Wai Lay,35-44,Female,Private Sector Employee,Yangon,Dagon,Wave Money,Android,Merchant Payment,41500,0,41500,Completed
TXN-OJMY-43282545,2-Aug-24,Friday,Su Phyo,35-44,Female,Healthcare Worker,Yangon,Dagon,KBZPay,Android,Merchant Payment,59000,0,59000,Completed
TXN-ZNFP-18022658,10-Dec-24,Tuesday,Kyaw Aung,18-24,Female,Business Owner,Yangon,Mayangon,KBZPay,Android,Merchant Payment,30000,0,30000,Completed
TXN-BJPD-75293733,8-Nov-24,Friday,Pyae Min,18-24,Female,Government Employee,Yangon,Insein,KBZPay,Android,P2P Transfer,99500,0,99500,Completed
TXN-VYTV-16550762,7-Jun-24,Friday,Nge Mon,18-24,Male,Government Employee,Yangon,Bahan,Wave Money,Android,Merchant Payment,70000,0,70000,Completed
TXN-HSOJ-09871962,23-May-24,Thursday,Aung Aung,35-44,Female,Private Sector Employee,Yangon,Insein,KBZPay,Android,P2P Transfer,300500,0,300500,Completed
TXN-SWMT-77979908,9-Jan-24,Tuesday,Daw Phyo,35-44,Female,Private Sector Employee,Yangon,Sanchaung,AYAPay,Android,Cash In,364500,0,364500,Completed
TXN-NYDO-37555230,1-Mar-24,Friday,Myat Lwin,35-44,Female,Government Employee,Yangon,Sanchaung,Wave Money,Android,P2P Transfer,41500,0,41500,Completed
TXN-YTBM-35394465,14-Feb-24,Wednesday,Khin Mon,35-44,Male,Business Owner,Yangon,Insein,KBZPay,Android,Mobile Top-up,7500,0,7500,Completed
TXN-HVGB-66513483,31-Mar-24,Sunday,Yee Zaw,35-44,Male,Business Owner,Yangon,Thingangyun,Wave Money,Android,P2P Transfer,482000,0,482000,Completed
TXN-NFYK-32199487,10-Mar-24,Sunday,Shwe Thu,45-54,Female,Private Sector Employee,Yangon,Tamwe,KBZPay,Android,Bill Payment,37500,0,37500,Completed
TXN-OUUP-58945215,9-Oct-24,Wednesday,Pyae San,45-54,Male,Private Sector Employee,Yangon,Mayangon,KBZPay,Android,P2P Transfer,159000,0,159000,Completed
TXN-KZRX-05308352,13-Aug-24,Tuesday,Thura Phyo,35-44,Female,Private Sector Employee,Yangon,Dagon,AYAPay,Android,Merchant Payment,19000,0,19000,Completed
TXN-CWHT-00846131,5-Mar-24,Tuesday,Myat Win,55+,Female,Private Sector Employee,Yangon,Hlaing,Wave Money,Android,Salary Credit,783000,0,783000,Completed
TXN-WPYR-96423944,5-Dec-24,Thursday,Kyaw Tun,35-44,Female,Trader / Merchant,Yangon,Kamayut,KBZPay,Android,P2P Transfer,153000,0,153000,Completed
TXN-UHJK-69127399,6-Sep-24,Friday,Yee Aye,18-24,Male,Trader / Merchant,Yangon,Dagon,CB Pay,Android,Mobile Top-up,2500,0,2500,Completed
TXN-ZDQP-04575626,26-Sep-24,Thursday,Wai Hlaing,35-44,Female,Government Employee,Yangon,Tamwe,KBZPay,Android,P2P Transfer,128000,0,128000,Completed
TXN-GFIC-08524581,20-Feb-24,Tuesday,Wai Aye,18-24,Male,Factory Worker,Yangon,Bahan,KBZPay,Android,P2P Transfer,175500,0,175500,Completed
TXN-MTUO-95696037,5-Mar-24,Tuesday,Mg Aung,18-24,Female,Farmer,Yangon,Mingaladon,Wave Money,Android,Merchant Payment,124500,0,124500,Completed
TXN-GPZA-15726963,24-Jan-24,Wednesday,Khin Tun,45-54,Female,Private Sector Employee,Yangon,Hlaing,CB Pay,Android,Bill Payment,90000,0,90000,Completed
TXN-RAMS-40635417,21-Sep-24,Saturday,Myat Shwe,18-24,Female,Private Sector Employee,Yangon,Insein,CB Pay,Android,P2P Transfer,144500,0,144500,Completed
TXN-QBVX-53964901,29-Oct-24,Tuesday,Htet Zaw,18-24,Male,Government Employee,Yangon,Dagon,Wave Money,Android,P2P Transfer,134000,0,134000,Completed
TXN-AHJE-68671402,27-Dec-24,Friday,Nge Shwe,18-24,Female,Private Sector Employee,Yangon,Sanchaung,AYAPay,Android,Bill Payment,65500,0,65500,Completed
TXN-KBQV-58102237,6-Feb-24,Tuesday,Khin Moe,35-44,Male,Trader / Merchant,Yangon,Insein,KBZPay,Android,Merchant Payment,148500,0,148500,Completed
