transaction_id,timestamp,date,month,hour,day_of_week,customer_name,age_group,gender,occupation,phone_number,city,township,platform,device_type,transaction_type,amount_mmk,fee_mmk,net_amount_mmk,status,description
TXN-LUAB-04142802,4/27/2024 9:17,4/27/2024,2024-04,9,Saturday,Myat Khaing,25-34,Male,Private Sector Employee,9497165726,Yangon,Mingaladon,KBZPay,Android,P2P Transfer,414000,0,414000,Completed,Payment for goods
TXN-NMSL-26689641,7/21/2024 15:41,7/21/2024,2024-07,15,Sunday,Thu Soe,25-34,Female,Private Sector Employee,9765273545,Taunggyi,Taunggyi Township,AYAPay,iOS,P2P Transfer,216000,0,216000,Failed,Personal transfer
TXN-XNAJ-81291986,4/25/2024 20:44,4/25/2024,2024-04,20,Thursday,Phyo Htun,18-24,Male,Trader / Merchant,9339578856,Naypyitaw,Dekkhina,KBZPay,Android,Salary Credit,3000000,0,3000000,Completed,Bonus payment
TXN-RHKS-67895145,11/14/2024 15:30,11/14/2024,2024-11,15,Thursday,Daw Zaw,25-34,Female,Student,9984134352,Yangon,Thingangyun,AYAPay,Android,P2P Transfer,191500,0,191500,Completed,Personal transfer
TXN-YESM-84085318,4/18/2024 14:19,4/18/2024,2024-04,14,Thursday,Kyaw Thu,55+,Male,Freelancer,9457190229,Mandalay,Chanayethazan,Wave Money,iOS,Cash Out,101000,1500,99500,Completed,ATM withdrawal
TXN-RRGT-79744637,10/14/2024 18:51,10/14/2024,2024-10,18,Monday,Thu Zin,35-44,Male,Government Employee,9312812067,Yangon,Kamayut,KBZPay,Android,Mobile Top-up,3500,0,3500,Completed,Atom (Telenor) top-up 1000 MMK
TXN-KIRJ-72504355,9/25/2024 8:05,9/25/2024,2024-09,8,Wednesday,Zaw Nyi,18-24,Male,Private Sector Employee,9431024994,Sittwe,Myebon,KBZPay,iOS,Bill Payment,10500,0,10500,Completed,Pay Insurance Premium
TXN-IEJQ-44555987,4/30/2024 12:42,4/30/2024,2024-04,12,Tuesday,Nge Htun,55+,Female,Private Sector Employee,972787429,Yangon,Dagon,CB Pay,Android,Bill Payment,41000,0,41000,Pending,Pay Cable TV
TXN-IIKI-52916086,6/8/2024 9:01,6/8/2024,2024-06,9,Saturday,Phyu Naing,25-34,Male,Healthcare Worker,9458087603,Myitkyina,Myitkyina Township,AYAPay,Android,Bill Payment,119000,0,119000,Completed,Pay Electricity (YESC)
TXN-DAVY-02981187,3/10/2024 19:56,3/10/2024,2024-03,19,Sunday,Phyo Moe,35-44,Male,Government Employee,9491317127,Dawei,Longlon,Wave Money,iOS,Cash Out,180000,1500,178500,Completed,Cash withdrawal at agent
TXN-QOZC-43205770,11/8/2024 13:47,11/8/2024,2024-11,13,Friday,Aye Maung,35-44,Male,Government Employee,9339972787,Yangon,Mayangon,KBZPay,Android,P2P Transfer,245500,0,245500,Completed,Personal transfer
TXN-GVFK-51731332,8/15/2024 9:54,8/15/2024,2024-08,9,Thursday,Thida Khaing,35-44,Female,Government Employee,972895171,Mandalay,Amarapura,KBZPay,Android,Bill Payment,200000,0,200000,Completed,Pay School Fees
TXN-FSCS-41648268,10/17/2024 13:27,10/17/2024,2024-10,13,Thursday,Thida Kyaw,35-44,Female,Business Owner,9960913431,Yangon,Mingaladon,Wave Money,Android,Bill Payment,78000,0,78000,Completed,Pay Cable TV
TXN-XQBH-60701031,6/10/2024 17:19,6/10/2024,2024-06,17,Monday,Myat Lin,35-44,Male,Government Employee,9986937923,Yangon,Mingaladon,Wave Money,Android,Bill Payment,73000,0,73000,Completed,Pay Government Fee
TXN-LKUM-10114829,11/28/2024 21:57,11/28/2024,2024-11,21,Thursday,Ma Thu,25-34,Male,Teacher,9761369594,Naypyitaw,Dekkhina,Wave Money,Android,Salary Credit,434500,0,434500,Pending,Bonus payment
TXN-FZHW-08691377,7/2/2024 10:16,7/2/2024,2024-07,10,Tuesday,Nan Mon,25-34,Female,Trader / Merchant,9431047095,Taunggyi,Taunggyi Township,Wave Money,Feature Phone,Merchant Payment,33000,0,33000,Completed,Purchase at Grand Hantha Hotel
TXN-YNKO-89939752,9/3/2024 17:56,9/3/2024,2024-09,17,Tuesday,Phyo Tun,35-44,Male,Government Employee,982368516,Sittwe,Myebon,KBZPay,Android,P2P Transfer,93000,0,93000,Completed,Rent payment
TXN-KXWN-69116954,8/27/2024 1:06,8/27/2024,2024-08,1,Tuesday,Shwe Min,18-24,Male,Freelancer,9336120047,Myitkyina,Waingmaw,Wave Money,iOS,P2P Transfer,162000,0,162000,Completed,Money sent to family
TXN-BTZF-67144295,3/29/2024 17:13,3/29/2024,2024-03,17,Friday,Kyaw Wai,25-34,Male,Farmer,9441585064,Mandalay,Maha Aungmye,Wave Money,Android,P2P Transfer,277000,0,277000,Completed,Transfer to Phyu Naing
TXN-HHJA-18280349,4/6/2024 14:33,4/6/2024,2024-04,14,Saturday,Thura Lin,18-24,Female,Private Sector Employee,9439042284,Yangon,Mingaladon,Wave Money,Android,Merchant Payment,25000,0,25000,Completed,Purchase at MPT
TXN-OQAM-18110396,2/24/2024 17:40,2/24/2024,2024-02,17,Saturday,Su Soe,35-44,Male,Government Employee,9953908470,Yangon,Kamayut,KBZPay,Feature Phone,P2P Transfer,284000,0,284000,Completed,Rent payment
TXN-XHJK-41916192,1/25/2024 12:05,1/25/2024,2024-01,12,Thursday,Thida Min,25-34,Male,Trader / Merchant,991836736,Mandalay,Maha Aungmye,KBZPay,iOS,P2P Transfer,176500,0,176500,Completed,Money sent to family
TXN-WQTG-21390346,11/4/2024 20:17,11/4/2024,2024-11,20,Monday,Daw Lay,25-34,Male,Government Employee,9968516560,Yangon,Kamayut,AYAPay,Android,Cash Out,262000,3500,258500,Completed,Cash withdrawal at agent
TXN-MPNR-66984104,5/17/2024 10:23,5/17/2024,2024-05,10,Friday,Thu Nge,35-44,Female,Business Owner,9984024455,Mawlamyine,Kyaikmaraw,CB Pay,Android,P2P Transfer,36000,500,35500,Completed,Payment for goods
TXN-FJYQ-63121174,3/21/2024 11:44,3/21/2024,2024-03,11,Thursday,Nan Naing,45-54,Male,Student,971476797,Bago,Waw,Wave Money,Android,Bill Payment,11000,0,11000,Completed,Pay Electricity (YESC)
TXN-SUYN-22797624,12/2/2024 5:22,12/2/2024,2024-12,5,Monday,Soe Zin,35-44,Female,Private Sector Employee,990762268,Yangon,Thingangyun,KBZPay,iOS,Merchant Payment,12000,0,12000,Completed,Purchase at AIA Myanmar
TXN-VNJG-24963174,7/5/2024 16:12,7/5/2024,2024-07,16,Friday,Thida Wai,35-44,Male,Private Sector Employee,9422975161,Mandalay,Patheingyi,AYAPay,Android,P2P Transfer,111000,0,111000,Completed,Money sent to family
TXN-BVAT-36908174,11/11/2024 10:28,11/11/2024,2024-11,10,Monday,Khin Lay,55+,Female,Government Employee,992432921,Sittwe,Myebon,AYAPay,Android,P2P Transfer,141000,0,141000,Completed,Payment for goods
TXN-EJRT-57093013,6/13/2024 3:40,6/13/2024,2024-06,3,Thursday,Mg Tun,35-44,Female,Private Sector Employee,984770054,Yangon,Insein,CB Pay,Android,P2P Transfer,500000,1000,499000,Completed,Payment for goods
TXN-KXPC-60630927,1/25/2024 18:24,1/25/2024,2024-01,18,Thursday,Su Thant,18-24,Male,Government Employee,9421820377,Yangon,Dagon,AYAPay,Android,Bill Payment,41500,0,41500,Completed,Pay Cable TV
TXN-NDAT-96648404,5/12/2024 11:21,5/12/2024,2024-05,11,Sunday,Yee Oo,25-34,Female,Government Employee,9444629148,Yangon,Dagon,AYAPay,Android,Bill Payment,44000,0,44000,Completed,Pay Government Fee
TXN-MKPJ-68985894,9/3/2024 15:39,9/3/2024,2024-09,15,Tuesday,Thura Moe,55+,Male,Private Sector Employee,998880592,Myitkyina,Waingmaw,Wave Money,Android,Mobile Top-up,20000,0,20000,Completed,Mytel top-up 5000 MMK
TXN-XIYV-81981655,7/21/2024 21:33,7/21/2024,2024-07,21,Sunday,Naing Nyi,18-24,Female,Student,9265977468,Yangon,Insein,OK Dollar,Android,Bill Payment,52500,0,52500,Completed,Pay Water (YCDC)
TXN-CYWA-33339897,2/20/2024 21:30,2/20/2024,2024-02,21,Tuesday,Myo Shwe,18-24,Male,Business Owner,9491375060,Pathein,Yegyi,KBZPay,Android,Bill Payment,200000,0,200000,Completed,Pay Water (YCDC)
TXN-GZXS-77080135,7/14/2024 17:15,7/14/2024,2024-07,17,Sunday,Thu Wai,25-34,Female,Factory Worker,954328986,Naypyitaw,Ottarathiri,Wave Money,Feature Phone,P2P Transfer,314000,0,314000,Completed,Personal transfer
TXN-HXQJ-27015050,3/29/2024 9:49,3/29/2024,2024-03,9,Friday,Myat Htun,35-44,Male,Private Sector Employee,988518888,Bago,Tanatpin,KBZPay,Android,Mobile Top-up,10000,0,10000,Completed,MPT top-up 1000 MMK
TXN-SRBN-00689855,10/1/2024 13:55,10/1/2024,2024-10,13,Tuesday,Min Win,25-34,Male,Trader / Merchant,9737221704,Mandalay,Maha Aungmye,AYAPay,Android,P2P Transfer,500000,0,500000,Failed,Rent payment
TXN-FDJW-86126086,1/30/2024 12:28,1/30/2024,2024-01,12,Tuesday,Aye Thu,18-24,Male,Factory Worker,9736527758,Mawlamyine,Kyaikmaraw,Wave Money,Android,P2P Transfer,39500,0,39500,Completed,Rent payment
TXN-EEIU-75930572,10/11/2024 14:36,10/11/2024,2024-10,14,Friday,Htet Wai,25-34,Male,Student,9449640165,Mandalay,Amarapura,AYAPay,Android,Bill Payment,89500,0,89500,Completed,Pay Government Fee
TXN-MEFV-50425113,3/19/2024 19:58,3/19/2024,2024-03,19,Tuesday,Ko Soe,55+,Male,Student,9972856543,Yangon,Bahan,Wave Money,iOS,Cash Out,116500,2500,114000,Completed,ATM withdrawal
TXN-CPVQ-82105493,10/16/2024 15:01,10/16/2024,2024-10,15,Wednesday,Yee Naing,25-34,Female,Business Owner,985518844,Yangon,Bahan,AYAPay,Android,Cash In,77000,0,77000,Failed,Cash deposit at agent
TXN-TEEN-83746196,8/21/2024 10:27,8/21/2024,2024-08,10,Wednesday,Khin Soe,35-44,Female,Trader / Merchant,981467866,Yangon,Dagon,Wave Money,Feature Phone,Merchant Payment,58500,0,58500,Pending,Purchase at Bangkok Airways
TXN-FCAV-09684825,8/28/2024 17:21,8/28/2024,2024-08,17,Wednesday,Thet Lwin,25-34,Male,Government Employee,9315841438,Mandalay,Aungmyaythazan,AYAPay,Android,P2P Transfer,209500,0,209500,Completed,Money sent to family
TXN-RFMH-83734665,2/27/2024 15:13,2/27/2024,2024-02,15,Tuesday,Kyaw Nge,45-54,Male,Farmer,9974396907,Pathein,Maubin,KBZPay,Android,Cash In,321000,0,321000,Completed,Cash deposit at agent
TXN-EZMH-48257781,10/23/2024 22:03,10/23/2024,2024-10,22,Wednesday,Aye San,35-44,Female,Freelancer,9452588153,Yangon,Bahan,Wave Money,Android,Bill Payment,23500,0,23500,Completed,Pay Internet (Fiber)
TXN-VKPS-02888008,6/6/2024 6:55,6/6/2024,2024-06,6,Thursday,Thu Hlaing,25-34,Male,Business Owner,9337016873,Bago,Bago Township,KBZPay,Android,P2P Transfer,50500,0,50500,Completed,Transfer to Su Min
TXN-BYDH-90636717,3/13/2024 16:02,3/13/2024,2024-03,16,Wednesday,Khin Win,25-34,Female,Private Sector Employee,9964168784,Bago,Tanatpin,AYAPay,Android,Merchant Payment,24000,0,24000,Completed,Purchase at KBZ Bank
TXN-QYRN-11466440,5/14/2024 14:37,5/14/2024,2024-05,14,Tuesday,Ma Kyaw,35-44,Male,Government Employee,9952595269,Yangon,Bahan,Wave Money,Android,Merchant Payment,39500,0,39500,Completed,Purchase at Mytel
TXN-EYPQ-59962480,1/7/2024 10:26,1/7/2024,2024-01,10,Sunday,Nan Zaw,25-34,Female,Healthcare Worker,9979309728,Yangon,Hlaing,AYAPay,Android,Mobile Top-up,2000,0,2000,Completed,Mytel top-up 1000 MMK
TXN-ZAVX-70520811,12/15/2024 12:14,12/15/2024,2024-12,12,Sunday,Ei Shwe,35-44,Male,Freelancer,972838578,Naypyitaw,Dekkhina,OK Dollar,Android,Bill Payment,180500,0,180500,Completed,Pay Insurance Premium
TXN-VGHP-25325666,12/3/2024 19:30,12/3/2024,2024-12,19,Tuesday,Thu Tun,35-44,Female,Business Owner,9765844198,Myitkyina,Waingmaw,OK Dollar,Android,Bill Payment,105500,0,105500,Completed,Pay Water (YCDC)
TXN-KNIJ-03243426,6/23/2024 12:20,6/23/2024,2024-06,12,Sunday,Pyae Maung,25-34,Male,Government Employee,9973308330,Yangon,Mingaladon,KBZPay,iOS,P2P Transfer,78500,0,78500,Completed,Personal transfer
TXN-XBKA-25543934,4/13/2024 20:45,4/13/2024,2024-04,20,Saturday,Shwe Shwe,18-24,Female,Business Owner,972620672,Yangon,Hlaing,OK Dollar,Android,Cash Out,75000,1000,74000,Failed,Cash withdrawal at agent
TXN-KOSM-72595541,9/1/2024 10:30,9/1/2024,2024-09,10,Sunday,Yee Thant,25-34,Male,Government Employee,9257420549,Mandalay,Chanayethazan,Wave Money,iOS,Mobile Top-up,6000,0,6000,Completed,Atom (Telenor) top-up 10000 MMK
TXN-PXSE-70471669,8/12/2024 10:30,8/12/2024,2024-08,10,Monday,Aung Thu,25-34,Male,Private Sector Employee,9424990453,Yangon,Thingangyun,Wave Money,Android,P2P Transfer,316000,0,316000,Completed,Rent payment
TXN-BOFM-36670162,4/29/2024 9:43,4/29/2024,2024-04,9,Monday,Khin Phyo,35-44,Female,Student,9263918785,Yangon,Dagon,KBZPay,Android,P2P Transfer,500000,0,500000,Completed,Money sent to family
TXN-JBQM-69476513,5/5/2024 8:59,5/5/2024,2024-05,8,Sunday,Su Naing,45-54,Male,Government Employee,9438679087,Yangon,Dagon,KBZPay,iOS,Mobile Top-up,2000,0,2000,Completed,Mytel top-up 10000 MMK
TXN-SGOF-41610280,6/17/2024 14:34,6/17/2024,2024-06,14,Monday,Kyaw Tun,25-34,Female,Student,9495676618,Taunggyi,Hopong,CB Pay,Android,P2P Transfer,183500,500,183000,Completed,Transfer to Wai Myint
TXN-NULV-66346787,7/16/2024 20:03,7/16/2024,2024-07,20,Tuesday,Phyu Aung,18-24,Male,Freelancer,990690331,Pathein,Pathein Township,Wave Money,Android,P2P Transfer,288500,0,288500,Completed,Personal transfer
TXN-GHNO-67086621,12/9/2024 20:33,12/9/2024,2024-12,20,Monday,Naing Nge,45-54,Female,Business Owner,9423428364,Yangon,Tamwe,KBZPay,Android,P2P Transfer,294500,0,294500,Completed,Transfer to Daw Maung
TXN-KSDF-28326792,7/14/2024 12:10,7/14/2024,2024-07,12,Sunday,Myat Oo,25-34,Male,Business Owner,9313427086,Yangon,Mayangon,KBZPay,Android,Cash Out,258500,1500,257000,Completed,ATM withdrawal
TXN-DYMU-24571715,5/18/2024 13:19,5/18/2024,2024-05,13,Saturday,Nan Win,45-54,Male,Student,9963735403,Yangon,Dagon,OK Dollar,Android,Cash Out,26500,0,26500,Completed,ATM withdrawal
TXN-GJAZ-32605134,3/24/2024 11:31,3/24/2024,2024-03,11,Sunday,Phyu Lwin,35-44,Female,Student,9423556093,Mandalay,Amarapura,Wave Money,Android,Merchant Payment,109000,0,109000,Completed,Purchase at KFC Myanmar
TXN-UVHH-08479200,2/20/2024 9:45,2/20/2024,2024-02,9,Tuesday,Pyae Shwe,45-54,Female,Trader / Merchant,9767252287,Mandalay,Maha Aungmye,CB Pay,iOS,P2P Transfer,67500,0,67500,Pending,Transfer to Kyaw Thant
TXN-PKAE-57557113,2/24/2024 16:16,2/24/2024,2024-02,16,Saturday,Phyu Aung,18-24,Female,Farmer,9767008860,Yangon,Mingaladon,AYAPay,Feature Phone,P2P Transfer,99500,0,99500,Completed,Transfer to Soe Htun
TXN-UZLY-91967722,12/22/2024 17:24,12/22/2024,2024-12,17,Sunday,Phyo Myint,18-24,Female,Business Owner,9313410166,Mawlamyine,Mudon,KBZPay,Feature Phone,Bill Payment,41500,0,41500,Completed,Pay Electricity (YESC)
TXN-HTXE-85984693,3/28/2024 18:32,3/28/2024,2024-03,18,Thursday,Naing Zin,45-54,Female,Business Owner,9320148902,Taunggyi,Taunggyi Township,KBZPay,Feature Phone,Cash In,143500,0,143500,Pending,Cash deposit at agent
TXN-TYAS-10444518,3/24/2024 14:27,3/24/2024,2024-03,14,Sunday,Aye Myint,35-44,Male,Healthcare Worker,988501631,Yangon,Mingaladon,AYAPay,iOS,P2P Transfer,78500,0,78500,Failed,Personal transfer
TXN-WSWC-04474752,6/6/2024 16:26,6/6/2024,2024-06,16,Thursday,Ko Myint,18-24,Female,Student,981426265,Yangon,Dagon,Wave Money,Android,Bill Payment,16000,0,16000,Failed,Pay Government Fee
TXN-KMSI-02633336,6/7/2024 15:50,6/7/2024,2024-06,15,Friday,Khin Nyi,18-24,Female,Private Sector Employee,9450466183,Yangon,Kamayut,Wave Money,Android,Mobile Top-up,1500,0,1500,Completed,MPT top-up 5000 MMK
TXN-THSG-16667707,4/24/2024 16:14,4/24/2024,2024-04,16,Wednesday,Naing Lay,35-44,Female,Private Sector Employee,992406596,Yangon,Tamwe,KBZPay,iOS,Merchant Payment,17500,0,17500,Completed,Purchase at MPT
TXN-UGAV-86293469,10/25/2024 14:43,10/25/2024,2024-10,14,Friday,Daw Wai,35-44,Female,Student,9426465193,Dawei,Yebyu,KBZPay,Android,Mobile Top-up,3500,0,3500,Completed,Atom (Telenor) top-up 2000 MMK
TXN-SJOK-58227852,3/1/2024 17:41,3/1/2024,2024-03,17,Friday,Naing Thu,35-44,Female,Student,987979688,Mandalay,Maha Aungmye,CB Pay,Android,Cash In,185000,0,185000,Completed,Cash deposit at agent
TXN-UIDP-43859469,4/17/2024 19:59,4/17/2024,2024-04,19,Wednesday,Thu Kyaw,55+,Male,Government Employee,9323888993,Naypyitaw,Dekkhina,KBZPay,Android,Bill Payment,104500,0,104500,Completed,Pay Insurance Premium
TXN-OZHU-61309504,2/28/2024 15:14,2/28/2024,2024-02,15,Wednesday,Khin Tun,25-34,Female,Business Owner,9447177514,Yangon,Bahan,AYAPay,Feature Phone,P2P Transfer,65000,0,65000,Completed,Money sent to family
TXN-BUUG-92583791,2/11/2024 15:33,2/11/2024,2024-02,15,Sunday,Htet Hlaing,35-44,Male,Government Employee,9983796603,Mawlamyine,Kyaikmaraw,AYAPay,iOS,P2P Transfer,186000,0,186000,Completed,Money sent to family
TXN-HJAG-23389922,5/20/2024 18:34,5/20/2024,2024-05,18,Monday,Nan Myint,35-44,Female,Private Sector Employee,9739249912,Myitkyina,Waingmaw,Wave Money,Feature Phone,P2P Transfer,177000,0,177000,Completed,Money sent to family
TXN-HXZM-80046564,3/2/2024 20:48,3/2/2024,2024-03,20,Saturday,Wai Hlaing,25-34,Male,Private Sector Employee,9739050723,Naypyitaw,Ottarathiri,OK Dollar,iOS,Merchant Payment,68500,0,68500,Completed,Purchase at Total Energies
TXN-NMZS-58601950,9/25/2024 11:19,9/25/2024,2024-09,11,Wednesday,Pyae Moe,25-34,Male,Business Owner,9768819148,Yangon,Hlaing,KBZPay,Android,Merchant Payment,86500,0,86500,Completed,Purchase at Foodpanda Myanmar
TXN-VUAO-95977744,12/23/2024 17:17,12/23/2024,2024-12,17,Monday,Phyu Thu,25-34,Female,Business Owner,993395962,Taunggyi,Taunggyi Township,AYAPay,Android,Mobile Top-up,3000,0,3000,Completed,MPT top-up 10000 MMK
TXN-RFQH-21116980,6/14/2024 17:00,6/14/2024,2024-06,17,Friday,Min Shwe,35-44,Female,Teacher,9432325367,Myitkyina,Myitkyina Township,AYAPay,Android,P2P Transfer,88000,0,88000,Completed,Rent payment
TXN-AXNW-11094688,2/6/2024 15:01,2/6/2024,2024-02,15,Tuesday,Myo Lay,55+,Female,Trader / Merchant,988636374,Taunggyi,Lawksawk,Wave Money,Android,P2P Transfer,173000,0,173000,Completed,Transfer to Min Lin
TXN-ZXSV-50412476,1/1/2024 10:37,1/1/2024,2024-01,10,Monday,Phyu Soe,18-24,Female,Private Sector Employee,9434241541,Yangon,Bahan,CB Pay,Android,Bill Payment,200000,0,200000,Completed,Pay Internet (Fiber)
TXN-ODRH-36199204,1/4/2024 15:22,1/4/2024,2024-01,15,Thursday,Aung Htun,35-44,Female,Healthcare Worker,9492713611,Yangon,Insein,KBZPay,Feature Phone,P2P Transfer,67000,0,67000,Completed,Payment for goods
TXN-LFMD-72220901,11/5/2024 12:13,11/5/2024,2024-11,12,Tuesday,Daw Oo,45-54,Female,Business Owner,9261121965,Bago,Waw,KBZPay,Android,Cash Out,66000,1000,65000,Completed,ATM withdrawal
TXN-TVAT-64237844,10/5/2024 9:28,10/5/2024,2024-10,9,Saturday,Soe Htay,18-24,Female,Farmer,9766137918,Mandalay,Amarapura,Wave Money,Android,Cash In,272000,0,272000,Completed,ATM cash in
TXN-EUED-18860156,8/2/2024 18:43,8/2/2024,2024-08,18,Friday,Nge Naing,18-24,Male,Factory Worker,9458486661,Mawlamyine,Mawlamyine Township,KBZPay,iOS,Mobile Top-up,5000,0,5000,Completed,Mytel top-up 2000 MMK
TXN-QTUT-55762673,7/7/2024 18:52,7/7/2024,2024-07,18,Sunday,Ma Phyo,35-44,Female,Government Employee,986179904,Naypyitaw,Pobbathiri,AYAPay,Feature Phone,Mobile Top-up,12000,0,12000,Completed,Ooredoo top-up 2000 MMK
TXN-CJJK-38178644,11/22/2024 9:14,11/22/2024,2024-11,9,Friday,Min Lay,35-44,Male,Factory Worker,955648149,Yangon,Sanchaung,KBZPay,Android,Mobile Top-up,7000,0,7000,Completed,Mytel top-up 3000 MMK
TXN-WNAY-98600776,3/22/2024 8:25,3/22/2024,2024-03,8,Friday,Kyaw San,45-54,Male,Business Owner,9452208635,Bago,Bago Township,CB Pay,Android,P2P Transfer,258500,0,258500,Completed,Transfer to Thet Naing
TXN-SVNX-49578061,3/26/2024 21:44,3/26/2024,2024-03,21,Tuesday,Thu San,25-34,Male,Business Owner,9443494937,Taunggyi,Hopong,OK Dollar,Android,Bill Payment,173500,0,173500,Pending,Pay School Fees
